system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
0000000000000000000c,20932.458678718034,41180,0.7518565058708191,0.5340859776091031,"St. Louis, MO-IL Metro Area",0.1041803219225402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,11622.100584779966,40060,0.9160000085830688,0.6687201018254711,"Richmond, VA Metro Area",0.10486371306497336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,13743.797111713124,40900,0.8757217526435852,0.5105833360576908,"Sacramento-Roseville-Folsom, CA Metro Area",0.16757269214315876,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,6910.6039036004895,16620,0.7738608717918396,0.633445504619027,"Charleston, WV Metro Area",0.05300842839114627,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5992.668140256502,19340,0.7165173888206482,0.44423421821691733,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.07457433553055544,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,5560.002252497664,31340,0.8327260613441467,0.6726124224026918,"Lynchburg, VA Metro Area",0.05968831838438713,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,22273.33973395728,26420,0.8762999773025513,0.5665845555306399,"Houston-The Woodlands-Sugar Land, TX Metro Area",0.14566600284976564,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,8807.398244313743,37900,0.7094652056694031,0.4728873157324996,"Peoria, IL Metro Area",0.08482425506875856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6105.833206852888,33660,0.8743565082550049,0.7108301209232759,"Mobile, AL Metro Area",0.10335567746065073,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,12171.569642153156,32820,0.8351086974143982,0.5628204439726608,"Memphis, TN-MS-AR Metro Area",0.1314775813436105,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,11032.243022935052,41740,0.8054174184799194,0.3293387749398537,"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.1539120495341635,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,3868.860305207642,33340,0.7776869535446167,0.48784573417991867,"Milwaukee-Waukesha, WI Metro Area",0.08663625739105676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,3088.4839429024255,44100,0.6940695643424988,0.4731987135585929,"Springfield, IL Metro Area",0.06511126798957025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,7216.664632449613,33860,0.8586695790290833,0.6892647762486428,"Montgomery, AL Metro Area",0.09019754183078586,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,13425.459788914957,11100,0.7208608984947205,0.2847988998824823,"Amarillo, TX Metro Area",0.03937649744421185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,1054.1022103468727,30620,0.6856695413589478,0.4537870413297579,"Lima, OH Metro Area",0.06311297512174208,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,19476.336830380027,33460,0.7491912841796875,0.3877169021175949,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.07929251921247744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,12294.204829924476,37980,0.8490999937057495,0.5926504871652748,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.11856896046184144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,14470.287327786084,21340,0.6918565034866333,0.16114234474398462,"El Paso, TX Metro Area",0.04365494454714077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,29133.034823712656,20260,0.7801086902618408,0.4718163717922365,"Duluth, MN-WI Metro Area",0.09086439835632405,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,3206.674346619156,13780,0.7716174125671387,0.5635599854938986,"Binghamton, NY Metro Area",0.06167909238935506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,3694.9283014790867,44700,0.8082391619682312,0.4650800092838982,"Stockton, CA Metro Area",0.11132009340197682,"{""type"":""MultiPoint"",""coordinates"":[]}"
