system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
0000000000000000000e,13743.797111713124,40900,0.9864000082015991,0.48090882308439714,"Sacramento-Roseville-Folsom, CA Metro Area",0.16460593014996777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,6910.6039036004895,16620,0.7682825922966003,0.6436153050205894,"Charleston, WV Metro Area",0.04726485061822143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5992.668140256502,19340,0.6581217646598816,0.43710475408034544,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.06534622354554581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,5560.002252497664,31340,0.8246956467628479,0.6620937141010226,"Lynchburg, VA Metro Area",0.05864130837625299,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,22273.33973395728,26420,0.8615260720252991,0.5547618649111272,"Houston-The Woodlands-Sugar Land, TX Metro Area",0.1485627919060862,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,8807.398244313743,37900,0.6991782784461975,0.44955782931904487,"Peoria, IL Metro Area",0.07652114803570553,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6105.833206852888,33660,0.8751450181007385,0.7056431972731971,"Mobile, AL Metro Area",0.10578057344630963,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,12171.569642153156,32820,0.834578275680542,0.5612011283414625,"Memphis, TN-MS-AR Metro Area",0.13140685086850337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,11032.243022935052,41740,0.8254739046096802,0.35226131083456136,"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.15840533243549926,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,3868.860305207642,33340,0.7249565124511719,0.44944065311035686,"Milwaukee-Waukesha, WI Metro Area",0.08185938689607246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,3088.4839429024255,44100,0.675895631313324,0.47679116108866876,"Springfield, IL Metro Area",0.06041674679423916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,7216.664632449613,33860,0.8524826169013977,0.6805944093815425,"Montgomery, AL Metro Area",0.08906872912833737,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,13425.459788914957,11100,0.7089608907699585,0.2738055468148745,"Amarillo, TX Metro Area",0.043832310739042445,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,1054.1022103468727,30620,0.6990782618522644,0.45724200099259427,"Lima, OH Metro Area",0.06360581631634853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,19476.336830380027,33460,0.6994478106498718,0.39265874382211297,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.08089145030380164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,12294.204829924476,37980,0.9448999762535095,0.5938725386927454,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.11927479981099447,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,14470.287327786084,21340,0.7259261012077332,0.19257329224164094,"El Paso, TX Metro Area",0.04490040841074503,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,29133.034823712656,20260,0.7493869662284851,0.46696835452443974,"Duluth, MN-WI Metro Area",0.08520496222611135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,3206.674346619156,13780,0.763134777545929,0.5733759556878116,"Binghamton, NY Metro Area",0.06064490185476382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,3694.9283014790867,44700,0.7912391424179077,0.4658706126629308,"Stockton, CA Metro Area",0.11534504643559357,"{""type"":""MultiPoint"",""coordinates"":[]}"
