name,value,wetland_type,sum_area_nwi_km2
id,AZ_Phoenix_C1_C_190,Riverine,0.02290169062386941
id,AZ_Phoenix_C2_C_191,Freshwater Pond,0.00324945426480425
id,AZ_Phoenix_D5_D_198,Riverine,0.00621095512351884
id,CA_Los Angeles_A10_A_234,Freshwater Forested/Shrub Wetland,0.00859298953219689
id,CA_Los Angeles_A12_A_236,Freshwater Forested/Shrub Wetland,3.457591846548021e-4
id,CA_Los Angeles_A12_A_236,Freshwater Pond,8.888235220074421e-6
id,CA_Los Angeles_A12_A_236,Riverine,0.01874211945637338
id,CA_Los Angeles_A13_A_237,Freshwater Forested/Shrub Wetland,0.00332617738321318
id,CA_Los Angeles_A13_A_237,Freshwater Pond,0.00799005728603148
id,CA_Los Angeles_A14_A_239,Riverine,0.00791769348092909
id,CA_Los Angeles_A15_A_240,Riverine,0.00829403057961509
id,CA_Los Angeles_A16_A_241,Riverine,0.00904746654310845
id,CA_Los Angeles_A18_A_244,Freshwater Forested/Shrub Wetland,0.00207978265278259
id,CA_Los Angeles_A18_A_244,Riverine,0.00541338946596346
id,CA_Los Angeles_A19_A_245,Riverine,0.00377163883561189
id,CA_Los Angeles_A1_A_233,Riverine,2.359716314949983e-4
id,CA_Los Angeles_A20_A_247,Riverine,0.00328386397749464
id,CA_Los Angeles_A21_A_248,Riverine,0.00223454295039554
id,CA_Los Angeles_A25_A_252,Riverine,1.8872186313197015e-4
id,CA_Los Angeles_A26_A_253,Freshwater Forested/Shrub Wetland,0.00137077361166174
id,CA_Los Angeles_A26_A_253,Riverine,6.916408202872881e-4
id,CA_Los Angeles_A27_A_254,Freshwater Forested/Shrub Wetland,0.00535109978612238
id,CA_Los Angeles_A27_A_254,Riverine,0.00154315076999055
id,CA_Los Angeles_A28_A_255,Freshwater Forested/Shrub Wetland,0.01233847441576626
id,CA_Los Angeles_A29_A_256,Freshwater Forested/Shrub Wetland,9.436505443306468e-4
id,CA_Los Angeles_A29_A_256,Riverine,0.01419936241702636
id,CA_Los Angeles_A30_A_258,Freshwater Forested/Shrub Wetland,0.00736346883244692
id,CA_Los Angeles_A30_A_258,Freshwater Pond,0.00116317500407318
id,CA_Los Angeles_A30_A_258,Riverine,0.01700254956913335
id,CA_Los Angeles_A35_A_263,Freshwater Forested/Shrub Wetland,0.00280228206002485
id,CA_Los Angeles_A35_A_263,Riverine,0.00312835693542619
id,CA_Los Angeles_A38_A_266,Freshwater Forested/Shrub Wetland,8.764359292819863e-4
