msa_GEOID,NA_L2NAME
40900,MEDITERRANEAN CALIFORNIA
40980,CENTRAL USA PLAINS
41620,COLD DESERTS
41700,SOUTH CENTRAL SEMIARID PRAIRIES
41740,MEDITERRANEAN CALIFORNIA
41860,MEDITERRANEAN CALIFORNIA
41940,MEDITERRANEAN CALIFORNIA
42340,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
42540,OZARK/OUACHITA-APPALACHIAN FORESTS
42660,WESTERN CORDILLERA
43340,SOUTHEASTERN USA PLAINS
43580,TEMPERATE PRAIRIES
43780,MIXED WOOD PLAINS
44060,WESTERN CORDILLERA
44100,CENTRAL USA PLAINS
44140,ATLANTIC HIGHLANDS
44180,OZARK/OUACHITA-APPALACHIAN FORESTS
44220,CENTRAL USA PLAINS
41140,TEMPERATE PRAIRIES
41180,SOUTHEASTERN USA PLAINS
44700,MEDITERRANEAN CALIFORNIA
45060,MIXED WOOD PLAINS
45300,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
45460,SOUTHEASTERN USA PLAINS
45780,CENTRAL USA PLAINS
45820,TEMPERATE PRAIRIES
45860,ATLANTIC HIGHLANDS
45940,SOUTHEASTERN USA PLAINS
46140,SOUTH CENTRAL SEMIARID PRAIRIES
46540,MIXED WOOD PLAINS
47260,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
47380,SOUTH CENTRAL SEMIARID PRAIRIES
47940,TEMPERATE PRAIRIES
48540,OZARK/OUACHITA-APPALACHIAN FORESTS
48620,SOUTH CENTRAL SEMIARID PRAIRIES
49180,SOUTHEASTERN USA PLAINS
49620,SOUTHEASTERN USA PLAINS
49660,MIXED WOOD PLAINS
