msa_GEOID,unit,mean_ndvi
27100,msa,0.5080389946017381
27100,msau,0.5092658429726336
27140,msa,0.6852634092189399
27140,msau,0.6855985333886875
27260,msa,0.6515351569594072
27260,msau,0.6526557422309923
27780,msa,0.5829782064300424
27780,msau,0.5838439313456144
28020,msa,0.49779600418422004
28020,msau,0.4982463371408875
28140,msa,0.5278121240829197
28140,msau,0.5285869628798742
28940,msa,0.6649560361369342
28940,msau,0.6658867879485444
29540,msa,0.5834626835052071
29540,msau,0.5837983277062947
29620,msa,0.4702602345383846
29620,msau,0.4708261798508782
30460,msa,0.6367127411624861
30460,msau,0.6375061785805977
30620,msa,0.45276628654101836
30620,msau,0.4523309132762722
30700,msa,0.4245645421407836
30700,msau,0.42490186423821724
30780,msa,0.6330527939613833
30780,msau,0.6335754589332648
31080,msa,0.33590261145300154
31080,msau,0.34002227009400743
31140,msa,0.614230663471966
31140,msau,0.6160140263855687
31340,msa,0.675308873586784
31340,msau,0.6755534476185304
31420,msa,0.7015937100988544
31420,msau,0.7023748904853895
31540,msa,0.4691854113871795
31540,msau,0.4693799868643374
31700,msa,0.6404571988695753
31700,msau,0.6429508274309085
32820,msa,0.5702037422505629
32820,msau,0.5714011948478757
33100,msa,0.4870235789223895
33100,msau,0.48757534271498143
33340,msa,0.45941267055824747
33340,msau,0.4637959034747001
33460,msa,0.4071867214456536
33460,msau,0.40777749040888883
33660,msa,0.7113036117649946
33660,msau,0.711792143798799
33780,msa,0.46490623244557244
33780,msau,0.4649062247096241
33860,msa,0.692035079535472
33860,msau,0.6928023623200088
34620,msa,0.4546116775252261
34620,msau,0.45484982151225356
34740,msa,0.5256352163610734
34740,msau,0.5279281303757352
34980,msa,0.6454189452321595
34980,msau,0.6470629878472777
35260,msa,0.5793412529670677
35260,msau,0.5802935266635904
35300,msa,0.6016961372481041
35300,msau,0.6082759409782859
35380,msa,0.4885596626768806
35380,msau,0.4892818210174884
35620,msa,0.5592763446369605
35620,msau,0.5699055231414967
36260,msa,0.1807815102381223
36260,msau,0.18055163621878312
36420,msa,0.4965959814869586
36420,msau,0.49750101809144026
36540,msa,0.4123926133401341
36540,msau,0.41285296621690415
36780,msa,0.325073462301449
36780,msau,0.3247487334533103
37900,msa,0.45965087300409
37900,msau,0.45977132598700565
37980,msa,0.5913483767915347
37980,msau,0.5966240785094854
38060,msa,0.22606051594316542
38060,msau,0.22611662044431183
38300,msa,0.6005054658564493
38300,msau,0.6025347843550046
38420,msa,0.4824193386489661
38420,msau,0.4824208394527083
38900,msa,0.6853154013517788
38900,msau,0.6865728558052023
39020,msa,0.6431474875656409
39020,msau,0.6441781664640378
39100,msa,0.5977431575722334
39100,msau,0.5981323129556703
39300,msa,0.6169421503556551
39300,msau,0.6222535375436362
39380,msa,0.22509010321438486
39380,msau,0.22499936503519113
39540,msa,0.44369271731130633
39540,msau,0.4463775299015167
40060,msa,0.67781264941253
40060,msau,0.6784662856621415
40220,msa,0.6731096848979428
40220,msau,0.6741361267843705
40340,msa,0.41201218896415176
40340,msau,0.4120820762384755
40380,msa,0.5172630933556149
40380,msau,0.5182277469866285
40420,msa,0.43786631975622703
40420,msau,0.4382531912041169
40900,msa,0.4997482633752688
